010	Make statement
011	Decline comment
012	Make pessimistic comment
013	Make optimistic comment
014	Consider policy option
015	Acknowledge or claim responsibility
016	Deny responsibility
017	Engage in symbolic act
018	Make empathetic commment
019	Express accord
020	Make an appeal or request
021	Appeal for material cooperation
0211	Appeal for economic cooperation
0212	Appeal for military cooperation
022	Appeal for diplomatic cooperation (such as policy support)
023	Appeal for aid
0231	Appeal for economic aid
0232	Appeal for military aid
0233	Appeal for humanitarian aid
0234	Appeal for military protection or peacekeeping
024	Appeal for political reform
0241	Appeal for change in leadership
0242	Appeal for policy change
0243	Appeal for rights
0244	Appeal for change in institutions, regime
025	Appeal for target to yield
0251	Appeal for easing of administrative sanctions
0252	Appeal for easing of popular dissent
0253	Appeal for release of persons or property
0254	Appeal for easing of economic sanctions, boycott, or embargo
0255	Appeal for target to allow international involvement (non-mediation)
0256	Appeal for de-escalation of military engagement
026	Appeal to others to meet or negotiate
027	Appeal to others to settle dispute
028	Appeal to engage mediation
030	Express intent to cooperate
031	Agree to engage in material cooperation
0311	Express intent to cooperate economically
0312	Express intent to cooperate militarily
032	Express intent to engage in diplomatic cooperation (such as policy support)
033	Express intent to provide material aid
0331	Express intent to provide economic aid
0332	Express intent to provide military aid
0333	Express intent to provide humanitarian aid
0334	Express intent to provide military protection or peacekeeping
034	Express intent to bring political reform
0341	Express intent to change leadership
0342	Express intent to change policy
0343	Express intent to provide rights
0344	Express intent to change institutions, regime
035	Express intent to yield
0351	Express intent to ease administrative sanctions
0352	Express intent to ease popular dissent
0353	Express intent to release persons or property
0354	Express intent to ease economic sanctions, boycott, embargo
0355	Express intent to allow international involvement (non-mediation)
0356	Express intent to de-escalate military engagement
036	Express intent to meet or negotiate
037	Express intent to settle dispute
038	Express intent to accept mediation
039	Express intent to mediate
040	Consult
041	Discuss by telephone
042	Make a visit
043	Host a visit
044	Meet at a “third” location
045	Engage in mediation
046	Engage in negotiation
050	Engage in diplomatic cooperation
051	Praise or endorse
052	Defend verbally
053	Rally support on behalf of
054	Grant diplomatic recognition
055	Apolgize
056	Forgive
057	Sign formal agreement
060	Engage in material cooperation
061	Cooperate economically
062	Cooperate militarily
063	Engage in judicial cooperation
064	Share intelligence or information
070	Provide aid
071	Provide economic aid
072	Provide military aid
073	Provide humanitarian aid
074	Provide military protection or peacekeeping
075	Grant asylum
080	Yield
081	Ease administrative sanctions
0811	Ease restrictions on freedoms of expression
0812	Ease ban on political parties or politicians
0813	Ease curfew
0814	Ease state of emergency or martial law
082	Ease political dissent
