run InSampleMID1 InSampleMID3 InSampleMID5 OutSampleMID1 OutSampleMID3 OutSampleMID5 
bl.230916.v5.is.k=20.c=1.trim 0.682996 0.686654 0.719699 0.662509 0.66996 0.701276 
bl.230916.v5.is.k=20.c=2.trim 0.641909 0.655654 0.693774 0.600965 0.635228 0.674321 
bl.230916.v5.is.k=20.c=3.trim 0.652463 0.674982 0.705836 0.642992 0.661119 0.688389 
bl.230916.v5.is.k=20.c=4.trim 0.666085 0.665431 0.725239 0.646663 0.647231 0.715681 
bl.230916.v5.is.k=5.c=1.trim 0.651262 0.650882 0.635763 0.642604 0.637003 0.634804 
bl.230916.v5.is.k=5.c=2.trim 0.636665 0.625855 0.638289 0.627585 0.618127 0.623533 
bl.230916.v5.is.k=5.c=3.trim 0.613125 0.605445 0.650068 0.605622 0.595704 0.644318 
bl.230916.v5.is.k=5.c=4.trim 0.593011 0.593394 0.678601 0.568453 0.569628 0.666024 
bl.230916.v5.sf.k=5.c=1.trim 0.763233 0.785049 0.883201 0.765132 0.784023 0.880238 
bl.230916.v5.sf.k=5.c=2.trim 0.738191 0.742392 0.857532 0.713178 0.713262 0.849951 
bl.230916.v5.sf.k=5.c=3.trim 0.783391 0.81706 0.907507 0.778596 0.805794 0.904282 
bl.230916.v5.sf.k=5.c=4.trim 0.754737 0.78262 0.876888 0.752421 0.779803 0.875058 
bl.230916.v5.ss.k=20.c=1.trim 0.717431 0.735248 0.75322 0.708076 0.723847 0.746948 
bl.230916.v5.ss.k=20.c=2.trim 0.758829 0.751292 0.799439 0.741546 0.740913 0.79171 
bl.230916.v5.ss.k=20.c=3.trim 0.771168 0.776326 0.777713 0.764315 0.776144 0.769938 
bl.230916.v5.ss.k=20.c=4.trim 0.729839 0.754194 0.768041 0.714222 0.741976 0.76126 
bl.230916.v5.ss.k=5.c=1.trim 0.706962 0.731854 0.679856 0.7045 0.72528 0.672013 
bl.230916.v5.ss.k=5.c=2.trim 0.712701 0.734909 0.66968 0.710093 0.732704 0.66077 
bl.230916.v5.ss.k=5.c=3.trim 0.636251 0.666825 0.654096 0.63856 0.662925 0.647462 
bl.230916.v5.ss.k=5.c=4.trim 0.708223 0.740629 0.717497 0.705544 0.736059 0.712587 
bl.230916.v5.v.k=20.c=1.trim 0.710756 0.705853 0.768689 0.697209 0.699786 0.764398 
bl.230916.v5.v.k=20.c=2.trim 0.713177 0.72545 0.788948 0.70242 0.70949 0.78345 
bl.230916.v5.v.k=20.c=3.trim 0.667716 0.677521 0.729088 0.654816 0.668326 0.715302 
bl.230916.v5.v.k=20.c=4.trim 0.716255 0.736785 0.772251 0.706706 0.724516 0.757207 
bl.230916.v5.v.k=5.c=1.trim 0.621284 0.622244 0.669869 0.617011 0.614414 0.663456 
bl.230916.v5.v.k=5.c=2.trim 0.618561 0.602879 0.664273 0.617049 0.60031 0.657001 
bl.230916.v5.v.k=5.c=3.trim 0.634464 0.629355 0.662554 0.632188 0.624624 0.65523 
bl.230916.v5.v.k=5.c=4.trim 0.658982 0.652803 0.695558 0.655324 0.646668 0.689125 
